시도,군구,총인구수 (명),남자인구수 (명),여자인구수 (명)
전국,소계,"51,578,178","25,711,784","25,866,394"
서울특별시,소계,"9,494,807","4,605,655","4,889,152"
서울특별시,　　　종로구,"143,624","69,513","74,111"
서울특별시,　　　중구,"122,088","59,364","62,724"
서울특별시,　　　용산구,"222,263","106,743","115,520"
서울특별시,　　　성동구,"283,821","138,162","145,659"
서울특별시,　　　광진구,"339,893","163,920","175,973"
서울특별시,　　　동대문구,"337,330","166,348","170,982"
서울특별시,　　　중랑구,"388,509","191,433","197,076"
서울특별시,　　　성북구,"433,559","208,790","224,769"
서울특별시,　　　강북구,"296,653","144,154","152,499"
서울특별시,　　　도봉구,"314,791","153,014","161,777"
서울특별시,　　　노원구,"508,066","244,387","263,679"
서울특별시,　　　은평구,"473,674","226,148","247,526"
서울특별시,　　　서대문구,"305,623","145,663","159,960"
서울특별시,　　　마포구,"367,584","172,569","195,015"
서울특별시,　　　양천구,"444,548","217,704","226,844"
서울특별시,　　　강서구,"573,045","275,233","297,812"
서울특별시,　　　구로구,"394,850","194,304","200,546"
서울특별시,　　　금천구,"231,565","116,811","114,754"
서울특별시,　　　영등포구,"376,437","185,460","190,977"
서울특별시,　　　동작구,"385,898","186,506","199,392"
서울특별시,　　　관악구,"486,946","244,722","242,224"
서울특별시,　　　서초구,"407,672","194,819","212,853"
서울특별시,　　　강남구,"531,777","254,333","277,444"
서울특별시,　　　송파구,"662,961","319,397","343,564"
서울특별시,　　　강동구,"461,630","226,158","235,472"
부산광역시,소계,"3,336,737","1,630,944","1,705,793"
부산광역시,　　　중구,"40,455","19,695","20,760"
부산광역시,　　　서구,"104,340","50,385","53,955"
부산광역시,　　　동구,"88,087","43,010","45,077"
부산광역시,　　　영도구,"109,395","53,890","55,505"
부산광역시,　　　부산진구,"350,999","168,924","182,075"
부산광역시,　　　동래구,"274,491","133,105","141,386"
부산광역시,　　　남구,"259,735","126,854","132,881"
부산광역시,　　　북구,"280,511","138,319","142,192"
부산광역시,　　　해운대구,"391,311","187,906","203,405"
부산광역시,　　　사하구,"305,008","151,650","153,358"
부산광역시,　　　금정구,"224,173","109,562","114,611"
부산광역시,　　　강서구,"144,047","74,626","69,421"
부산광역시,　　　연제구,"206,145","99,094","107,051"
부산광역시,　　　수영구,"174,739","82,321","92,418"
부산광역시,　　　사상구,"205,765","103,672","102,093"
부산광역시,　　　기장군,"177,536","87,931","89,605"
대구광역시,소계,"2,375,306","1,169,571","1,205,735"
대구광역시,　　　중구,"78,984","37,920","41,064"
대구광역시,　　　동구,"341,126","167,608","173,518"
대구광역시,　　　서구,"161,542","80,623","80,919"
대구광역시,　　　남구,"141,285","67,750","73,535"
대구광역시,　　　북구,"435,131","216,414","218,717"
대구광역시,　　　수성구,"414,917","200,508","214,409"
대구광역시,　　　달서구,"539,024","265,202","273,822"
대구광역시,　　　달성군,"263,297","133,546","129,751"
인천광역시,소계,"2,957,066","1,480,432","1,476,634"
인천광역시,　　　중구,"147,705","76,777","70,928"
인천광역시,　　　중구영종출장소,0,0,0
인천광역시,　　　중구용유출장소,0,0,0
인천광역시,　　　동구,"59,017","29,742","29,275"
인천광역시,　　　미추홀구,"407,180","204,996","202,184"
인천광역시,　　　연수구,"387,303","192,281","195,022"
인천광역시,　　　남동구,"512,645","254,637","258,008"
인천광역시,　　　부평구,"488,095","240,774","247,321"
인천광역시,　　　계양구,"292,985","145,966","147,019"
인천광역시,　　　서구,"571,547","288,573","282,974"
인천광역시,　　　서구검단출장소,0,0,0
인천광역시,　　　강화군,"70,033","35,006","35,027"
인천광역시,　　　옹진군,"20,556","11,680","8,876"
광주광역시,소계,"1,435,378","709,685","725,693"
광주광역시,　　　동구,"103,233","50,901","52,332"
광주광역시,　　　서구,"288,120","141,070","147,050"
광주광역시,　　　남구,"215,274","103,419","111,855"
광주광역시,　　　북구,"426,053","211,247","214,806"
광주광역시,　　　광산구,"402,698","203,048","199,650"
대전광역시,소계,"1,448,401","722,517","725,884"
대전광역시,　　　동구,"221,043","111,349","109,694"
대전광역시,　　　중구,"229,570","112,994","116,576"
대전광역시,　　　서구,"470,332","231,167","239,165"
대전광역시,　　　유성구,"352,844","178,251","174,593"
대전광역시,　　　대덕구,"174,612","88,756","85,856"
울산광역시,소계,"1,115,609","573,152","542,457"
울산광역시,　　　중구,"210,354","106,499","103,855"
울산광역시,　　　남구,"312,159","159,220","152,939"
울산광역시,　　　동구,"152,691","79,728","72,963"
울산광역시,　　　북구,"218,742","113,131","105,611"
울산광역시,　　　울주군,"221,663","114,574","107,089"
세종특별자치시,소계,"380,215","189,723","190,492"
세종특별자치시,　　　세종시,"380,215","189,723","190,492"
경기도,소계,"13,585,967","6,838,396","6,747,571"
경기도,　　　수원시,"1,185,044","596,982","588,062"
경기도,　　　장안구,"273,223","137,576","135,647"
경기도,　　　권선구,"369,188","186,636","182,552"
경기도,　　　팔달구,"181,123","91,205","89,918"
경기도,　　　영통구,"361,510","181,565","179,945"
경기도,　　　성남시,"926,645","458,946","467,699"
경기도,　　　수정구,"234,728","118,945","115,783"
경기도,　　　중원구,"207,896","105,334","102,562"
경기도,　　　분당구,"484,021","234,667","249,354"
경기도,　　　의정부시,"464,171","228,370","235,801"
경기도,　　　안양시,"549,659","271,606","278,053"
경기도,　　　만안구,"234,712","117,321","117,391"
경기도,　　　동안구,"314,947","154,285","160,662"
경기도,　　　부천시,"798,999","395,747","403,252"
경기도,　　　광명시,"290,501","143,076","147,425"
경기도,　　　평택시,"572,548","299,111","273,437"
경기도,　　　송탄출장소,0,0,0
경기도,　　　안중출장소,0,0,0
경기도,　　　동두천시,"92,999","46,398","46,601"
경기도,　　　안산시,"648,849","332,725","316,124"
경기도,　　　상록구,"348,620","177,961","170,659"
경기도,　　　단원구,"300,229","154,764","145,465"
경기도,　　　고양시,"1,078,559","526,937","551,622"
경기도,　　　덕양구,"485,137","238,956","246,181"
경기도,　　　일산동구,"299,065","145,350","153,715"
경기도,　　　일산서구,"294,357","142,631","151,726"
경기도,　　　과천시,"78,532","38,605","39,927"
경기도,　　　구리시,"190,379","94,318","96,061"
경기도,　　　남양주시,"736,212","366,068","370,144"
경기도,　　　풍양출장소,0,0,0
경기도,　　　오산시,"230,165","119,696","110,469"
경기도,　　　시흥시,"513,928","268,455","245,473"
경기도,　　　군포시,"267,712","132,818","134,894"
경기도,　　　의왕시,"161,334","80,052","81,282"
경기도,　　　하남시,"323,790","161,887","161,903"
경기도,　　　용인시,"1,077,609","534,851","542,758"
경기도,　　　처인구,"261,898","134,598","127,300"
경기도,　　　기흥구,"439,877","217,063","222,814"
경기도,　　　수지구,"375,834","183,190","192,644"
경기도,　　　파주시,"487,831","247,681","240,150"
경기도,　　　이천시,"223,948","116,438","107,510"
경기도,　　　안성시,"189,988","98,110","91,878"
경기도,　　　김포시,"485,395","242,718","242,677"
경기도,　　　화성시,"896,147","465,868","430,279"
경기도,　　　화성시동부출장소,0,0,0
경기도,　　　화성시동탄출장소,0,0,0
경기도,　　　광주시,"389,876","198,918","190,958"
경기도,　　　양주시,"237,156","120,188","116,968"
경기도,　　　포천시,"148,066","78,483","69,583"
경기도,　　　여주시,"112,639","57,300","55,339"
경기도,　　　연천군,"42,625","22,394","20,231"
경기도,　　　가평군,"62,306","32,135","30,171"
경기도,　　　양평군,"122,355","61,515","60,840"
강원도,소계,"1,539,064","774,405","764,659"
강원도,　　　춘천시,"285,907","141,081","144,826"
강원도,　　　원주시,"359,596","178,256","181,340"
강원도,　　　강릉시,"212,277","105,308","106,969"
강원도,　　　동해시,"89,574","45,553","44,021"
강원도,　　　태백시,"40,085","20,259","19,826"
강원도,　　　속초시,"82,848","41,100","41,748"
강원도,　　　삼척시,"64,165","32,450","31,715"
강원도,　　　홍천군,"67,884","34,908","32,976"
강원도,　　　횡성군,"46,546","23,903","22,643"
강원도,　　　영월군,"37,934","19,657","18,277"
강원도,　　　평창군,"41,150","21,222","19,928"
강원도,　　　정선군,"35,334","18,449","16,885"
강원도,　　　철원군,"42,789","22,160","20,629"
강원도,　　　화천군,"23,961","12,948","11,013"
강원도,　　　양구군,"21,607","11,327","10,280"
강원도,　　　인제군,"32,177","17,493","14,684"
강원도,　　　고성군,"27,331","14,098","13,233"
강원도,　　　양양군,"27,899","14,233","13,666"
충청북도,소계,"1,597,118","811,127","785,991"
충청북도,　　　청주시,"849,003","428,367","420,636"
충청북도,　　　서원구,"192,503","95,800","96,703"
충청북도,　　　청원구,"194,281","99,952","94,329"
충청북도,　　　상당구,"194,043","96,384","97,659"
충청북도,　　　흥덕구,"268,176","136,231","131,945"
충청북도,　　　충주시,"208,728","105,727","103,001"
충청북도,　　　제천시,"131,969","66,343","65,626"
충청북도,　　　보은군,"31,798","16,034","15,764"
충청북도,　　　옥천군,"49,914","25,187","24,727"
충청북도,　　　영동군,"45,345","22,615","22,730"
충청북도,　　　증평군,"37,024","19,237","17,787"
충청북도,　　　진천군,"85,817","45,233","40,584"
충청북도,　　　괴산군,"37,262","19,216","18,046"
충청북도,　　　음성군,"92,240","48,951","43,289"
충청북도,　　　단양군,"28,018","14,217","13,801"
충청남도,소계,"2,120,201","1,084,712","1,035,489"
충청남도,　　　당진시,"167,092","88,951","78,141"
충청남도,　　　천안시,"657,214","336,296","320,918"
충청남도,　　　동남구,"255,635","129,670","125,965"
충청남도,　　　서북구,"401,579","206,626","194,953"
충청남도,　　　공주시,"102,997","51,451","51,546"
충청남도,　　　보령시,"97,779","49,557","48,222"
충청남도,　　　아산시,"330,516","172,160","158,356"
충청남도,　　　서산시,"176,416","92,007","84,409"
충청남도,　　　논산시,"113,552","56,684","56,868"
충청남도,　　　계룡시,"43,547","21,717","21,830"
충청남도,　　　금산군,"50,211","25,356","24,855"
충청남도,　　　부여군,"63,129","31,353","31,776"
충청남도,　　　서천군,"50,411","24,891","25,520"
충청남도,　　　청양군,"30,442","15,489","14,953"
충청남도,　　　홍성군,"98,767","49,248","49,519"
충청남도,　　　예산군,"76,647","38,493","38,154"
충청남도,　　　태안군,"61,481","31,059","30,422"
전라북도,소계,"1,778,279","884,908","893,371"
전라북도,　　　전주시,"654,521","321,819","332,702"
전라북도,　　　완산구,"334,166","162,605","171,561"
전라북도,　　　덕진구,"320,355","159,214","161,141"
전라북도,　　　전주시효자출장소,0,0,0
전라북도,　　　군산시,"263,897","133,558","130,339"
전라북도,　　　익산시,"276,140","137,561","138,579"
전라북도,　　　익산시함열출장소,0,0,0
전라북도,　　　정읍시,"105,812","52,652","53,160"
전라북도,　　　남원시,"78,781","38,672","40,109"
전라북도,　　　김제시,"80,861","40,187","40,674"
전라북도,　　　완주군,"91,134","46,874","44,260"
전라북도,　　　진안군,"24,898","12,654","12,244"
전라북도,　　　무주군,"23,711","11,843","11,868"
전라북도,　　　장수군,"21,580","10,784","10,796"
전라북도,　　　임실군,"26,678","13,662","13,016"
전라북도,　　　순창군,"26,799","13,160","13,639"
전라북도,　　　고창군,"52,981","26,335","26,646"
전라북도,　　　부안군,"50,486","25,147","25,339"
전라남도,소계,"1,826,440","919,417","907,023"
전라남도,　　　목포시,"217,604","108,210","109,394"
전라남도,　　　여수시,"275,544","140,332","135,212"
전라남도,　　　순천시,"280,195","139,846","140,349"
전라남도,　　　나주시,"116,284","58,689","57,595"
전라남도,　　　광양시,"151,669","79,226","72,443"
전라남도,　　　담양군,"46,159","23,344","22,815"
전라남도,　　　곡성군,"27,396","13,512","13,884"
전라남도,　　　구례군,"25,011","12,194","12,817"
전라남도,　　　고흥군,"62,442","30,442","32,000"
전라남도,　　　보성군,"39,031","19,057","19,974"
전라남도,　　　화순군,"62,402","30,839","31,563"
전라남도,　　　장흥군,"36,147","17,620","18,527"
전라남도,　　　강진군,"33,428","16,228","17,200"
전라남도,　　　해남군,"66,629","33,115","33,514"
전라남도,　　　영암군,"53,052","27,603","25,449"
전라남도,　　　무안군,"91,078","45,856","45,222"
전라남도,　　　함평군,"31,000","15,613","15,387"
전라남도,　　　영광군,"52,127","26,030","26,097"
전라남도,　　　장성군,"43,182","22,155","21,027"
전라남도,　　　완도군,"48,079","24,222","23,857"
전라남도,　　　진도군,"29,816","14,802","15,014"
전라남도,　　　신안군,"38,165","20,482","17,683"
경상북도,소계,"2,613,963","1,318,198","1,295,765"
경상북도,　　　포항시,"499,854","253,278","246,576"
경상북도,　　　남구,"229,100","118,654","110,446"
경상북도,　　　북구,"270,754","134,624","136,130"
경상북도,　　　경주시,"250,857","125,551","125,306"
경상북도,　　　김천시,"139,906","70,224","69,682"
경상북도,　　　안동시,"155,904","77,067","78,837"
경상북도,　　　구미시,"409,555","210,608","198,947"
경상북도,　　　영주시,"101,370","50,292","51,078"
경상북도,　　　영천시,"101,285","51,481","49,804"
경상북도,　　　상주시,"95,490","46,949","48,541"
경상북도,　　　문경시,"72,065","35,326","36,739"
경상북도,　　　경산시,"267,423","134,526","132,897"
경상북도,　　　군위군,"23,405","11,973","11,432"
경상북도,　　　의성군,"50,554","24,851","25,703"
경상북도,　　　청송군,"24,486","12,267","12,219"
경상북도,　　　영양군,"16,218","8,099","8,119"
경상북도,　　　영덕군,"35,034","16,664","18,370"
경상북도,　　　청도군,"41,654","20,563","21,091"
경상북도,　　　고령군,"30,377","15,596","14,781"
경상북도,　　　성주군,"42,861","22,280","20,581"
경상북도,　　　칠곡군,"113,184","59,060","54,124"
경상북도,　　　예천군,"55,572","27,316","28,256"
경상북도,　　　봉화군,"30,478","15,429","15,049"
경상북도,　　　울진군,"47,349","23,805","23,544"
경상북도,　　　울릉군,"9,082","4,993","4,089"
경상남도,소계,"3,295,615","1,659,245","1,636,370"
경상남도,　　　창원시,"1,026,749","520,087","506,662"
경상남도,　　　의창구,"216,485","110,277","106,208"
경상남도,　　　성산구,"250,029","127,499","122,530"
경상남도,　　　마산합포구,"180,790","89,888","90,902"
경상남도,　　　마산회원구,"185,044","92,555","92,489"
경상남도,　　　진해구,"194,401","99,868","94,533"
경상남도,　　　진주시,"345,303","170,623","174,680"
경상남도,　　　통영시,"124,115","62,275","61,840"
경상남도,　　　사천시,"109,520","55,235","54,285"
경상남도,　　　사천남양출장소,0,0,0
경상남도,　　　김해시,"536,175","271,226","264,949"
경상남도,　　　장유출장소,0,0,0
경상남도,　　　밀양시,"103,183","50,706","52,477"
경상남도,　　　거제시,"238,423","124,748","113,675"
경상남도,　　　양산시,"353,886","177,290","176,596"
경상남도,　　　양산시웅상출장소,0,0,0
경상남도,　　　의령군,"26,330","13,000","13,330"
경상남도,　　　함안군,"61,989","31,631","30,358"
경상남도,　　　창녕군,"59,424","29,660","29,764"
경상남도,　　　고성군,"49,987","25,105","24,882"
경상남도,　　　남해군,"42,071","20,423","21,648"
경상남도,　　　하동군,"42,975","21,496","21,479"
경상남도,　　　산청군,"34,194","16,900","17,294"
경상남도,　　　함양군,"38,189","18,473","19,716"
경상남도,　　　거창군,"60,600","29,768","30,832"
경상남도,　　　합천군,"42,502","20,599","21,903"
제주특별자치도,소계,"678,012","339,697","338,315"
제주특별자치도,　　　제주시,"493,538","246,672","246,866"
제주특별자치도,　　　서귀포시,"184,474","93,025","91,449"
